GeneName	RefSeq_Summary
LOC18097674	general transcription factor IIH subunit 2	general transcription factor IIH subunit 2
LOC18097675	60S ribosomal protein L7a-1	60S ribosomal protein L7a-1
LOC18097676	60S ribosomal protein L7a-1	60S ribosomal protein L7a-1
LOC18097679	uncharacterized LOC18097679	uncharacterized LOC18097679
LOC18097680	proline-rich protein 4	proline-rich protein 4
LOC18097682	AUGMIN subunit 5	AUGMIN subunit 5
LOC18097684	E3 ubiquitin-protein ligase At3g02290	E3 ubiquitin-protein ligase At3g02290
LOC18097690	protein DOWN-REGULATED IN DIF1 11	protein DOWN-REGULATED IN DIF1 11
LOC18097693	eukaryotic translation initiation factor 3 subunit M	eukaryotic translation initiation factor 3 subunit M
LOC18097699	uncharacterized LOC18097699	uncharacterized LOC18097699
LOC18097702	uncharacterized LOC18097702	uncharacterized LOC18097702
LOC18097705	polypyrimidine tract-binding protein homolog 1	polypyrimidine tract-binding protein homolog 1
LOC18097706	BAG family molecular chaperone regulator 8, chloroplastic	BAG family molecular chaperone regulator 8, chloroplastic
LOC18097713	zinc finger BED domain-containing protein DAYSLEEPER	zinc finger BED domain-containing protein DAYSLEEPER
LOC18097717	uncharacterized LOC18097717	uncharacterized LOC18097717
LOC18097718	zinc finger BED domain-containing protein DAYSLEEPER	zinc finger BED domain-containing protein DAYSLEEPER
LOC18097720	uncharacterized LOC18097720	uncharacterized LOC18097720
LOC18097722	protein FEZ	protein FEZ
LOC18097724	transmembrane emp24 domain-containing protein p24delta9	transmembrane emp24 domain-containing protein p24delta9
LOC18097733	uncharacterized LOC18097733	uncharacterized LOC18097733
LOC18097734	zinc finger BED domain-containing protein RICESLEEPER 2	zinc finger BED domain-containing protein RICESLEEPER 2
LOC18097742	probable inositol transporter 2	probable inositol transporter 2
LOC18097744	uncharacterized At5g08430	uncharacterized At5g08430
LOC18097748	BURP domain protein RD22	BURP domain protein RD22
LOC18097749	BURP domain protein RD22	BURP domain protein RD22
LOC18097751	BURP domain protein RD22	BURP domain protein RD22
LOC18097752	protein DYAD	protein DYAD
LOC18097753	probable manganese-transporting ATPase PDR2	probable manganese-transporting ATPase PDR2
LOC18097754	uncharacterized LOC18097754	uncharacterized LOC18097754
LOC18097755	uncharacterized LOC18097755	uncharacterized LOC18097755
LOC18097756	uncharacterized LOC18097756	uncharacterized LOC18097756
LOC18097759	E3 ubiquitin-protein ligase CHFR	E3 ubiquitin-protein ligase CHFR
LOC18097760	myb-related protein 308	myb-related protein 308
LOC18097762	patellin-3	patellin-3
LOC18097763	serine/threonine-protein kinase SRK2A	serine/threonine-protein kinase SRK2A
LOC18097764	ferrochelatase-2, chloroplastic	ferrochelatase-2, chloroplastic
LOC18097766	TOM1-like protein 5	TOM1-like protein 5
LOC18097767	alcohol dehydrogenase	alcohol dehydrogenase
LOC18097769	DDT domain-containing protein DDB_G0282237	DDT domain-containing protein DDB_G0282237
LOC18097773	G-type lectin S-receptor-like serine/threonine-protein kinase At5g35370	G-type lectin S-receptor-like serine/threonine-protein kinase At5g35370
LOC18097775	flavonol synthase/flavanone 3-hydroxylase	flavonol synthase/flavanone 3-hydroxylase
LOC18097776	flavonol synthase/flavanone 3-hydroxylase	flavonol synthase/flavanone 3-hydroxylase
LOC18097778	phosphatidylinositol 4-phosphate 5-kinase 1	phosphatidylinositol 4-phosphate 5-kinase 1
LOC18097779	PI-PLC X domain-containing protein At5g67130	PI-PLC X domain-containing protein At5g67130
LOC18097780	probable receptor-like protein kinase At1g49730	probable receptor-like protein kinase At1g49730
LOC18097781	uncharacterized LOC18097781	uncharacterized LOC18097781
LOC18097782	30S ribosomal protein S7, chloroplastic	30S ribosomal protein S7, chloroplastic
LOC18097783	ABSCISIC ACID-INSENSITIVE 5-like protein 7	ABSCISIC ACID-INSENSITIVE 5-like protein 7
LOC18097785	ferredoxin--nitrite reductase, chloroplastic	ferredoxin--nitrite reductase, chloroplastic
LOC18097786	abscisic acid 8'-hydroxylase 4	abscisic acid 8'-hydroxylase 4
LOC18097787	LAG1 longevity assurance homolog 2	LAG1 longevity assurance homolog 2
LOC18097788	ethylene-responsive transcription factor ERF109	ethylene-responsive transcription factor ERF109
LOC18097789	protein CYPRO4	protein CYPRO4
LOC18097790	EKC/KEOPS complex subunit Tprkb	EKC/KEOPS complex subunit Tprkb
LOC18097791	protein CHROMATIN REMODELING 25	protein CHROMATIN REMODELING 25
LOC18097792	uncharacterized LOC18097792	uncharacterized LOC18097792
LOC18097793	autophagy-related protein 2	autophagy-related protein 2
LOC18097795	B3 domain-containing protein Os01g0234100	B3 domain-containing protein Os01g0234100
LOC18097796	B3 domain-containing protein Os06g0194400	B3 domain-containing protein Os06g0194400
LOC18097797	uncharacterized LOC18097797	uncharacterized LOC18097797
LOC18097799	cyclin-dependent kinase inhibitor 7	cyclin-dependent kinase inhibitor 7
LOC18097801	presequence protease 1, chloroplastic/mitochondrial	presequence protease 1, chloroplastic/mitochondrial
LOC18097802	probable carboxylesterase 7	probable carboxylesterase 7
LOC18097806	probable carboxylesterase 12	probable carboxylesterase 12
LOC18097807	probable carboxylesterase 1	probable carboxylesterase 1
LOC18097809	probable carboxylesterase 5	probable carboxylesterase 5
LOC18097810	2-hydroxyisoflavanone dehydratase	2-hydroxyisoflavanone dehydratase
LOC18097812	uncharacterized LOC18097812	uncharacterized LOC18097812
LOC18097813	polyadenylate-binding protein RBP47	polyadenylate-binding protein RBP47
LOC18097814	uncharacterized LOC18097814	uncharacterized LOC18097814
LOC18097815	protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1	protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1
LOC18097816	CDPK-related kinase 5	CDPK-related kinase 5
LOC18097820	armadillo repeat-containing protein 6	armadillo repeat-containing protein 6
LOC18097822	peptidyl-prolyl cis-trans isomerase CYP40	peptidyl-prolyl cis-trans isomerase CYP40
LOC18097823	uncharacterized LOC18097823	uncharacterized LOC18097823
LOC18097825	peroxidase 10	peroxidase 10
LOC18097826	la-related protein 6C	la-related protein 6C
LOC18097827	transcription factor HHO6	transcription factor HHO6
LOC18097831	protein TRI1	protein TRI1
LOC18097832	pentatricopeptide repeat-containing protein At2g15820, chloroplastic	pentatricopeptide repeat-containing protein At2g15820, chloroplastic
LOC18097834	serine/threonine-protein kinase SRK2E	serine/threonine-protein kinase SRK2E
LOC18097835	uncharacterized LOC18097835	uncharacterized LOC18097835
LOC18097836	probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic	probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic
LOC18097837	kinesin-like protein KIN-12D	kinesin-like protein KIN-12D
LOC18097839	protein DMR6-LIKE OXYGENASE 2	protein DMR6-LIKE OXYGENASE 2
LOC18097840	protein DMR6-LIKE OXYGENASE 2	protein DMR6-LIKE OXYGENASE 2
LOC18097844	pollen-specific leucine-rich repeat extensin-like protein 3	pollen-specific leucine-rich repeat extensin-like protein 3
LOC18097845	uncharacterized LOC18097845	uncharacterized LOC18097845
LOC18097847	uncharacterized LOC18097847	uncharacterized LOC18097847
LOC18097848	B3 domain-containing transcription factor VRN1	B3 domain-containing transcription factor VRN1
LOC18097849	B3 domain-containing transcription factor VRN1	B3 domain-containing transcription factor VRN1
LOC18097852	B3 domain-containing transcription factor VRN1	B3 domain-containing transcription factor VRN1
LOC18097853	uncharacterized LOC18097853	uncharacterized LOC18097853
LOC18097856	cytochrome P450 82C4	cytochrome P450 82C4
LOC18097857	pentatricopeptide repeat-containing protein At2g15630, mitochondrial	pentatricopeptide repeat-containing protein At2g15630, mitochondrial
LOC18097858	uncharacterized LOC18097858	uncharacterized LOC18097858
LOC18097863	extra-large guanine nucleotide-binding protein 1	extra-large guanine nucleotide-binding protein 1
LOC18097873	uncharacterized LOC18097873	uncharacterized LOC18097873
LOC18097874	putative proline-rich receptor-like protein kinase PERK6	putative proline-rich receptor-like protein kinase PERK6
LOC18097880	late embryogenesis abundant protein	late embryogenesis abundant protein
LOC18097881	probable receptor-like protein kinase At4g39110	probable receptor-like protein kinase At4g39110
LOC18097889	amidophosphoribosyltransferase, chloroplastic	amidophosphoribosyltransferase, chloroplastic
LOC18097890	uncharacterized LOC18097890	uncharacterized LOC18097890
LOC18097894	auxin-responsive protein SAUR24	auxin-responsive protein SAUR24
LOC18097897	60S ribosomal protein L23	60S ribosomal protein L23
LOC18097900	proline-rich protein 4	proline-rich protein 4
LOC18097901	uncharacterized LOC18097901	uncharacterized LOC18097901
LOC18097903	mavicyanin	mavicyanin
LOC18097912	monooxygenase 2	monooxygenase 2
LOC18097915	histone-lysine N-methyltransferase SUVR4	histone-lysine N-methyltransferase SUVR4
LOC18097917	uncharacterized LOC18097917	uncharacterized LOC18097917
LOC18097918	serine/threonine-protein kinase STY46	serine/threonine-protein kinase STY46
LOC18097924	lysine histidine transporter-like 8	lysine histidine transporter-like 8
LOC18097926	uncharacterized LOC18097926	uncharacterized LOC18097926
LOC18097929	phenolic glucoside malonyltransferase 1	phenolic glucoside malonyltransferase 1
LOC18097931	uncharacterized LOC18097931	uncharacterized LOC18097931
LOC18097932	uncharacterized LOC18097932	uncharacterized LOC18097932
LOC18097935	phenolic glucoside malonyltransferase 1	phenolic glucoside malonyltransferase 1
LOC18097942	uncharacterized LOC18097942	uncharacterized LOC18097942
LOC18097945	uncharacterized LOC18097945	uncharacterized LOC18097945
LOC18097952	protein HIRA	protein HIRA
LOC18097954	cytochrome P450 94C1	cytochrome P450 94C1
LOC18097956	UPF0481 protein At3g47200	UPF0481 protein At3g47200
LOC18097958	DNA polymerase epsilon catalytic subunit A	DNA polymerase epsilon catalytic subunit A
LOC18097960	60S acidic ribosomal protein P2B	60S acidic ribosomal protein P2B
LOC18097961	histidine-containing phosphotransfer protein 2	histidine-containing phosphotransfer protein 2
LOC18097964	serine/threonine-protein kinase D6PKL1	serine/threonine-protein kinase D6PKL1
LOC18097965	serine/threonine-protein kinase D6PKL1	serine/threonine-protein kinase D6PKL1
LOC18097966	putative low molecular weight protein-tyrosine-phosphatase slr0328	putative low molecular weight protein-tyrosine-phosphatase slr0328
LOC18097967	alkaline/neutral invertase E, chloroplastic	alkaline/neutral invertase E, chloroplastic
LOC18097968	protein BUD31 homolog 2	protein BUD31 homolog 2
LOC18097972	probable DNA double-strand break repair Rad50 ATPase	probable DNA double-strand break repair Rad50 ATPase
LOC18097973	dehydration-responsive element-binding protein 1B	dehydration-responsive element-binding protein 1B
LOC18097974	UPF0481 protein At3g47200	UPF0481 protein At3g47200
LOC18097975	18.1 kDa class I heat shock protein	18.1 kDa class I heat shock protein
LOC18097976	uncharacterized LOC18097976	uncharacterized LOC18097976
LOC18097977	18.1 kDa class I heat shock protein	18.1 kDa class I heat shock protein
LOC18097981	stress-response A/B barrel domain-containing protein At5g22580	stress-response A/B barrel domain-containing protein At5g22580
LOC18097982	uncharacterized LOC18097982	uncharacterized LOC18097982
LOC18097983	probable 2-carboxy-D-arabinitol-1-phosphatase	probable 2-carboxy-D-arabinitol-1-phosphatase
LOC18097984	probable ribosome biogenesis protein RLP24	probable ribosome biogenesis protein RLP24
LOC18097985	nucleobase-ascorbate transporter 12	nucleobase-ascorbate transporter 12
LOC18097987	arogenate dehydratase/prephenate dehydratase 6, chloroplastic	arogenate dehydratase/prephenate dehydratase 6, chloroplastic
LOC18097988	putative phytosulfokines 6	putative phytosulfokines 6
LOC18097991	uncharacterized At4g22758	uncharacterized At4g22758
LOC18097992	cytochrome b-c1 complex subunit 9	cytochrome b-c1 complex subunit 9
LOC18097993	histone deacetylase HDT1	histone deacetylase HDT1
LOC18097994	splicing factor U2af small subunit B	splicing factor U2af small subunit B
LOC18097995	glucomannan 4-beta-mannosyltransferase 2	glucomannan 4-beta-mannosyltransferase 2
LOC18097997	AT-hook motif nuclear-localized protein 1	AT-hook motif nuclear-localized protein 1
LOC18097998	uncharacterized C227.17c	uncharacterized C227.17c
LOC18097999	DNA repair protein RAD5A	DNA repair protein RAD5A
LOC18098000	DDT domain-containing protein PTM	DDT domain-containing protein PTM
LOC18098001	AP-2 complex subunit alpha-1	AP-2 complex subunit alpha-1
LOC18098002	BTB/POZ domain-containing protein At3g44820	BTB/POZ domain-containing protein At3g44820
LOC18098003	UDP-D-apiose/UDP-D-xylose synthase 2	UDP-D-apiose/UDP-D-xylose synthase 2
LOC18098005	putative phospholipid:diacylglycerol acyltransferase 2	putative phospholipid:diacylglycerol acyltransferase 2
LOC18098006	uncharacterized LOC18098006	uncharacterized LOC18098006
LOC18098008	SRSF protein kinase 2	SRSF protein kinase 2
LOC18098009	uncharacterized LOC18098009	uncharacterized LOC18098009
LOC18098010	outer envelope protein 61	outer envelope protein 61
LOC18098012	protein YIPF5 homolog	protein YIPF5 homolog
LOC18098013	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
LOC18098014	inactive protein RESTRICTED TEV MOVEMENT 2	inactive protein RESTRICTED TEV MOVEMENT 2
LOC18098016	inactive protein RESTRICTED TEV MOVEMENT 2	inactive protein RESTRICTED TEV MOVEMENT 2
LOC18098017	uncharacterized LOC18098017	uncharacterized LOC18098017
LOC18098019	abscisic-aldehyde oxidase	abscisic-aldehyde oxidase
LOC18098020	wall-associated receptor kinase 2	wall-associated receptor kinase 2
LOC18098021	wall-associated receptor kinase 2	wall-associated receptor kinase 2
LOC18098023	protein TIC 20-v, chloroplastic	protein TIC 20-v, chloroplastic
LOC18098024	putative wall-associated receptor kinase-like 16	putative wall-associated receptor kinase-like 16
LOC18098025	wall-associated receptor kinase 2	wall-associated receptor kinase 2
LOC18098027	wall-associated receptor kinase 2	wall-associated receptor kinase 2
LOC18098028	putative wall-associated receptor kinase-like 11	putative wall-associated receptor kinase-like 11
LOC18098029	wall-associated receptor kinase 2	wall-associated receptor kinase 2
LOC18098031	wall-associated receptor kinase 2	wall-associated receptor kinase 2
LOC18098032	wall-associated receptor kinase 2	wall-associated receptor kinase 2
LOC18098034	serine/threonine-protein kinase TOUSLED	serine/threonine-protein kinase TOUSLED
LOC18098035	nicotianamine synthase	nicotianamine synthase
LOC18098036	hornerin	hornerin
LOC18098038	kinesin-like protein KIN-12E	kinesin-like protein KIN-12E
LOC18098039	mediator of RNA polymerase II transcription subunit 19a	mediator of RNA polymerase II transcription subunit 19a
LOC18098041	ubiquitin	ubiquitin
LOC18098043	BTB/POZ and MATH domain-containing protein 4	BTB/POZ and MATH domain-containing protein 4
LOC18098045	NADH--cytochrome b5 reductase 1	NADH--cytochrome b5 reductase 1
LOC18098047	germin-like protein 9-3	germin-like protein 9-3
LOC18098048	serine/threonine-protein kinase BLUS1	serine/threonine-protein kinase BLUS1
LOC18098049	putative disease resistance RPP13-like protein 1	putative disease resistance RPP13-like protein 1
LOC18098050	T-complex protein 1 subunit eta	T-complex protein 1 subunit eta
LOC18098051	putative disease resistance RPP13-like protein 1	putative disease resistance RPP13-like protein 1
LOC18098052	T-complex protein 1 subunit eta	T-complex protein 1 subunit eta
LOC18098053	probable apyrase 6	probable apyrase 6
LOC18098054	non-structural maintenance of chromosomes element 1 homolog	non-structural maintenance of chromosomes element 1 homolog
LOC18098056	geranylgeranyl diphosphate reductase, chloroplastic	geranylgeranyl diphosphate reductase, chloroplastic
LOC18098058	non-specific lipid transfer protein GPI-anchored 2	non-specific lipid transfer protein GPI-anchored 2
LOC18098059	putative disease resistance RPP13-like protein 1	putative disease resistance RPP13-like protein 1
LOC18098060	bifunctional aspartokinase/homoserine dehydrogenase 1	bifunctional aspartokinase/homoserine dehydrogenase 1
LOC18098062	protein FAR1-RELATED SEQUENCE 3	protein FAR1-RELATED SEQUENCE 3
LOC18098063	serrate RNA effector molecule	serrate RNA effector molecule
LOC18098064	60S ribosomal protein L30	60S ribosomal protein L30
LOC18098065	uncharacterized LOC18098065	uncharacterized LOC18098065
LOC18098066	glutathione S-transferase U9	glutathione S-transferase U9
LOC18098067	OTU domain-containing protein 5-A	OTU domain-containing protein 5-A
LOC18098069	mitochondrial fission protein ELM1	mitochondrial fission protein ELM1
LOC18098070	capsanthin/capsorubin synthase, chromoplastic	capsanthin/capsorubin synthase, chromoplastic
LOC18098071	rRNA-processing protein UTP23 homolog	rRNA-processing protein UTP23 homolog
LOC18098073	protein ETHYLENE INSENSITIVE 3	protein ETHYLENE INSENSITIVE 3
LOC18098074	probable inactive receptor kinase At5g10020	probable inactive receptor kinase At5g10020
LOC18098075	NDR1/HIN1-like protein 13	NDR1/HIN1-like protein 13
LOC18098076	nitrate regulatory gene2 protein	nitrate regulatory gene2 protein
LOC18098077	putative disease resistance protein RGA3	putative disease resistance protein RGA3
LOC18098080	putative disease resistance protein RGA3	putative disease resistance protein RGA3
LOC18098081	nicalin-1	nicalin-1
LOC18098083	ruvB-like protein 1	ruvB-like protein 1
LOC18098084	protein phosphatase 1 regulatory subunit 7	protein phosphatase 1 regulatory subunit 7
LOC18098085	F-box protein At2g27310	F-box protein At2g27310
LOC18098086	photosystem I subunit O	photosystem I subunit O
LOC18098087	uncharacterized At5g41620	uncharacterized At5g41620
LOC18098088	bifunctional nitrilase/nitrile hydratase NIT4A	bifunctional nitrilase/nitrile hydratase NIT4A
LOC18098092	secoisolariciresinol dehydrogenase	secoisolariciresinol dehydrogenase
LOC18098093	uncharacterized LOC18098093	uncharacterized LOC18098093
LOC18098094	secoisolariciresinol dehydrogenase	secoisolariciresinol dehydrogenase
LOC18098095	uncharacterized LOC18098095	uncharacterized LOC18098095
LOC18098096	uncharacterized LOC18098096	uncharacterized LOC18098096
LOC18098097	probable CCR4-associated factor 1 homolog 11	probable CCR4-associated factor 1 homolog 11
LOC18098098	transcription repressor OFP6	transcription repressor OFP6
LOC18098100	transcription factor E2FB	transcription factor E2FB
LOC18098101	pentatricopeptide repeat-containing protein At5g62370	pentatricopeptide repeat-containing protein At5g62370
LOC18098102	uncharacterized LOC18098102	uncharacterized LOC18098102
LOC18098106	N-carbamoylputrescine amidase	N-carbamoylputrescine amidase
LOC18098108	rho GTPase-activating protein 5	rho GTPase-activating protein 5
LOC18098109	uncharacterized At2g27730, mitochondrial	uncharacterized At2g27730, mitochondrial
LOC18098110	protein transport protein SEC24	protein transport protein SEC24
LOC18098111	heterogeneous nuclear ribonucleoprotein Q	heterogeneous nuclear ribonucleoprotein Q
LOC18098112	uncharacterized LOC18098112	uncharacterized LOC18098112
LOC18098113	probable calcium-binding protein CML48	probable calcium-binding protein CML48
LOC18098114	glucan endo-1,3-beta-glucosidase 14	glucan endo-1,3-beta-glucosidase 14
LOC18098115	ferredoxin, root R-B2	ferredoxin, root R-B2
LOC18098118	putative disease resistance protein RGA3	putative disease resistance protein RGA3
LOC18098119	60S ribosomal protein L10a-2	60S ribosomal protein L10a-2
LOC18098120	60S ribosomal protein L10a-2	60S ribosomal protein L10a-2
LOC18098121	uncharacterized LOC18098121	uncharacterized LOC18098121
LOC18098123	cell division protein FtsZ homolog 2-1, chloroplastic	cell division protein FtsZ homolog 2-1, chloroplastic
LOC18098124	transmembrane 9 superfamily member 5	transmembrane 9 superfamily member 5
LOC18098125	F-box/LRR-repeat protein At1g67190	F-box/LRR-repeat protein At1g67190
LOC18098126	transcription factor TGA9	transcription factor TGA9
LOC18098127	uncharacterized LOC18098127	uncharacterized LOC18098127
LOC18098128	uncharacterized LOC18098128	uncharacterized LOC18098128
LOC18098129	cytochrome c1-2, heme protein, mitochondrial	cytochrome c1-2, heme protein, mitochondrial
LOC18098131	CEN-like protein 2	CEN-like protein 2
LOC18098133	cytochrome P450 87A3	cytochrome P450 87A3
LOC18098135	isocitrate dehydrogenase [NAD] regulatory subunit 1, mitochondrial	isocitrate dehydrogenase [NAD] regulatory subunit 1, mitochondrial
LOC18098136	SEC1 family transport protein SLY1	SEC1 family transport protein SLY1
LOC18098137	protein LAZ1	protein LAZ1
LOC18098138	sorcin	sorcin
LOC18098140	U-box domain-containing protein 15	U-box domain-containing protein 15
LOC18098141	ubiquitin domain-containing protein DSK2b	ubiquitin domain-containing protein DSK2b
LOC18098142	uncharacterized LOC18098142	uncharacterized LOC18098142
LOC18098143	zinc finger protein ZAT3	zinc finger protein ZAT3
LOC18098145	protein NLP2	protein NLP2
LOC18098146	pentatricopeptide repeat-containing protein At2g17140	pentatricopeptide repeat-containing protein At2g17140
LOC18098149	pentatricopeptide repeat-containing protein At2g17210	pentatricopeptide repeat-containing protein At2g17210
LOC18098150	probable galacturonosyltransferase 3	probable galacturonosyltransferase 3
LOC18098151	probable serine/threonine-protein kinase PIX13	probable serine/threonine-protein kinase PIX13
LOC18098152	uncharacterized DDB_G0284459	uncharacterized DDB_G0284459
LOC18098153	transport and Golgi organization 2 homolog	transport and Golgi organization 2 homolog
LOC18098155	protein EXORDIUM-like 5	protein EXORDIUM-like 5
LOC18098156	amino acid transporter AVT3B	amino acid transporter AVT3B
LOC18098157	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
LOC18098158	homoserine kinase	homoserine kinase
LOC18098159	monosaccharide-sensing protein 2	monosaccharide-sensing protein 2
LOC18098160	mitochondrial phosphate carrier protein 1, mitochondrial	mitochondrial phosphate carrier protein 1, mitochondrial
LOC18098161	calcium-dependent protein kinase 26	calcium-dependent protein kinase 26
LOC18098162	uncharacterized LOC18098162	uncharacterized LOC18098162
LOC18098163	uncharacterized LOC18098163	uncharacterized LOC18098163
LOC18098164	cysteine protease XCP1	cysteine protease XCP1
LOC18098165	uncharacterized At2g17340	uncharacterized At2g17340
LOC18098167	probable galactinol--sucrose galactosyltransferase 5	probable galactinol--sucrose galactosyltransferase 5
LOC18098168	pentatricopeptide repeat-containing protein At2g03880, mitochondrial	pentatricopeptide repeat-containing protein At2g03880, mitochondrial
LOC18098169	aminoacylase-1	aminoacylase-1
LOC18098170	uncharacterized LOC18098170	uncharacterized LOC18098170
LOC18098171	expansin-A20	expansin-A20
LOC18098172	brefeldin A-inhibited guanine nucleotide-exchange protein 1	brefeldin A-inhibited guanine nucleotide-exchange protein 1
LOC18098173	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1
LOC18098174	AT-hook motif nuclear-localized protein 25	AT-hook motif nuclear-localized protein 25
LOC18098175	scarecrow-like protein 3	scarecrow-like protein 3
LOC18098176	cellulose synthase-like protein D4	cellulose synthase-like protein D4
LOC18098177	AT-rich interactive domain-containing protein 6	AT-rich interactive domain-containing protein 6
LOC18098178	protein FAR1-RELATED SEQUENCE 5	protein FAR1-RELATED SEQUENCE 5
LOC18098179	protein FAR1-RELATED SEQUENCE 9	protein FAR1-RELATED SEQUENCE 9
LOC18098180	uncharacterized LOC18098180	uncharacterized LOC18098180
LOC18098181	probable L-type lectin-domain containing receptor kinase S.5	probable L-type lectin-domain containing receptor kinase S.5
LOC18098182	pentatricopeptide repeat-containing protein At4g38150	pentatricopeptide repeat-containing protein At4g38150
LOC18098184	phototropin-2	phototropin-2
LOC18098185	histone deacetylase 19	histone deacetylase 19
LOC18098186	chloride channel protein CLC-e	chloride channel protein CLC-e
LOC18098187	ankyrin repeat domain-containing protein 2B	ankyrin repeat domain-containing protein 2B
LOC18098189	E3 SUMO-protein ligase SIZ1	E3 SUMO-protein ligase SIZ1
LOC18098190	vegetative cell wall protein gp1	vegetative cell wall protein gp1
LOC18098191	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin), chloroplastic	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin), chloroplastic
LOC18098193	fasciclin-like arabinogalactan protein 12	fasciclin-like arabinogalactan protein 12
LOC18098195	uncharacterized LOC18098195	uncharacterized LOC18098195
LOC18098197	uncharacterized LOC18098197	uncharacterized LOC18098197
LOC18098198	vacuolar fusion protein MON1 homolog	vacuolar fusion protein MON1 homolog
LOC18098199	homeobox-leucine zipper protein REVOLUTA	homeobox-leucine zipper protein REVOLUTA
LOC18098200	CASP-like protein 5A2	CASP-like protein 5A2
LOC18098201	serine/threonine-protein phosphatase 6 regulatory subunit 2	serine/threonine-protein phosphatase 6 regulatory subunit 2
LOC18098202	ubiquitin-like protein 5	ubiquitin-like protein 5
LOC18098203	auxin response factor 10	auxin response factor 10
LOC18098205	GATA transcription factor 11	GATA transcription factor 11
LOC18098206	UDP-xylose transporter 1	UDP-xylose transporter 1
LOC18098207	uncharacterized LOC18098207	uncharacterized LOC18098207
LOC18098208	artemisinic aldehyde Delta(11(13)) reductase	artemisinic aldehyde Delta(11(13)) reductase
LOC18098209	cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG1	cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG1
LOC18098211	uncharacterized LOC18098211	uncharacterized LOC18098211
LOC18098212	exosome complex component RRP41-like	exosome complex component RRP41-like
LOC18098213	uncharacterized LOC18098213	uncharacterized LOC18098213
LOC18098214	receptor-like serine/threonine-protein kinase NCRK	receptor-like serine/threonine-protein kinase NCRK
LOC18098215	helicase protein MOM1	helicase protein MOM1
LOC18098216	alpha carbonic anhydrase 7	alpha carbonic anhydrase 7
LOC18098217	hybrid signal transduction histidine kinase M	hybrid signal transduction histidine kinase M
LOC18098221	BEL1-like homeodomain protein 4	BEL1-like homeodomain protein 4
LOC18098223	ruBisCO large subunit-binding protein subunit alpha	ruBisCO large subunit-binding protein subunit alpha
LOC18098224	P-loop NTPase domain-containing protein LPA1 homolog 1	P-loop NTPase domain-containing protein LPA1 homolog 1
LOC18098225	SNF1-related protein kinase regulatory subunit beta-3	SNF1-related protein kinase regulatory subunit beta-3
LOC18098228	ABC transporter G family member 3	ABC transporter G family member 3
LOC18098229	UDP-glycosyltransferase 86A2	UDP-glycosyltransferase 86A2
LOC18098230	ABC transporter F family member 1	ABC transporter F family member 1
LOC18098232	uncharacterized LOC18098232	uncharacterized LOC18098232
LOC18098234	heavy metal-associated isoprenylated plant protein 3	heavy metal-associated isoprenylated plant protein 3
LOC18098236	lactoylglutathione lyase	lactoylglutathione lyase
LOC18098238	transcription factor RAX2	transcription factor RAX2
LOC18098239	transmembrane protein 258	transmembrane protein 258
LOC18098240	uncharacterized LOC18098240	uncharacterized LOC18098240
LOC18098241	serine carboxypeptidase-like	serine carboxypeptidase-like
LOC18098242	vacuolar protein sorting-associated protein 24 homolog 1	vacuolar protein sorting-associated protein 24 homolog 1
LOC18098243	protein NUCLEAR FUSION DEFECTIVE 4	protein NUCLEAR FUSION DEFECTIVE 4
LOC18098244	uncharacterized LOC18098244	uncharacterized LOC18098244
LOC18098245	SHUGOSHIN 2	SHUGOSHIN 2
LOC18098246	protein enabled homolog	protein enabled homolog
LOC18098247	protein UPSTREAM OF FLC	protein UPSTREAM OF FLC
LOC18098248	uncharacterized LOC18098248	uncharacterized LOC18098248
LOC18098249	aquaporin TIP1-1	aquaporin TIP1-1
LOC18098250	protein smg8	protein smg8
LOC18098251	superoxide dismutase [Cu-Zn], chloroplastic	superoxide dismutase [Cu-Zn], chloroplastic
LOC18098254	zinc finger protein ZAT5	zinc finger protein ZAT5
LOC18098255	50S ribosomal protein L9, chloroplastic	50S ribosomal protein L9, chloroplastic
LOC18098256	protein SENSITIVE TO PROTON RHIZOTOXICITY 2	protein SENSITIVE TO PROTON RHIZOTOXICITY 2
LOC18098257	pheophorbide a oxygenase, chloroplastic	pheophorbide a oxygenase, chloroplastic
LOC18098258	uncharacterized LOC18098258	uncharacterized LOC18098258
LOC18098259	30S ribosomal protein S16-2, chloroplastic/mitochondrial	30S ribosomal protein S16-2, chloroplastic/mitochondrial
LOC18098260	cyclin-dependent kinases regulatory subunit 1	cyclin-dependent kinases regulatory subunit 1
